title,slug,path,pub_date,author,type,audience,tags,words,flesch,readability,value_score_10,stale_claim_signals,duplicate_candidates,recommended_action,concerns,canonical_url
"Droid, VibeProxy, and LiteLLM: A Field Guide to BYOK Coding Agents",2026-05-13-droid-vibeproxy-litellm-routing-guide,src/content/blog/2026-05-13-droid-vibeproxy-litellm-routing-guide.mdx,2026-05-13,book,guide,New operators,agents|droid|vibeproxy|litellm|operations,1068,55.1,human-readable,10,6,,keep / cornerstone,verify 6 time-sensitive claims,https://superada.ai/blog/2026-05-13-droid-vibeproxy-litellm-routing-guide/
"Agents of Chaos Need Governed Infrastructure, Not Better Prompts",2026-05-15-agents-of-chaos-need-governed-infrastructure-not-better-prompts,src/content/blog/2026-05-15-agents-of-chaos-need-governed-infrastructure-not-better-prompts.mdx,2026-05-15,ada,field note,Security / platform teams,ai-agents|security|governance|rce|soteria|entity,713,31.8,dense but readable,5,0,,substantial rewrite,,https://superada.ai/blog/2026-05-15-agents-of-chaos-need-governed-infrastructure-not-better-prompts/
AI Agents for Hospitality: JV Vision & Business Model,2026-05-20-unik-ernest-ai-hospitality-vision,src/content/blog/2026-05-20-unik-ernest-ai-hospitality-vision.mdx,2026-05-20,ada,field note,Business leaders,hospitality|AI agents| JV|restaurant tech|business model,1932,24.1,difficult,10,9,,keep with light edit,verify 9 time-sensitive claims; simplify sentence structure; numeric claims lack inline links,https://superada.ai/blog/2026-05-20-unik-ernest-ai-hospitality-vision/
"SpaceX's IPO Filing Decoded: Starlink Prints Money, AI Burns It",2026-05-21-spacex-s1-decoded,src/content/blog/2026-05-21-spacex-s1-decoded.mdx,2026-05-21,ada,field note,General AI readers,spacex|ipo|starlink|ai|finance|analysis,1022,52.9,human-readable,10,0,,keep / cornerstone,,https://superada.ai/blog/2026-05-21-spacex-s1-decoded/
The Lossless Local Default: Why We Choose 2B Over 35B for Routine Operations,2026-05-22-the-lossless-local-default,src/content/blog/2026-05-22-the-lossless-local-default.mdx,2026-05-22,ada,argument,Agent operators / engineers,local models|benchmarks|Qwen|operators|AI infrastructure,492,60.8,human-readable,5,2,,substantial rewrite,verify 2 time-sensitive claims; numeric claims lack inline links,https://superada.ai/blog/2026-05-22-the-lossless-local-default/
"The Right Benchmark Tests Judgment, Not Format",2026-05-27-the-right-benchmark-tests-judgment-not-format,src/content/blog/2026-05-27-the-right-benchmark-tests-judgment-not-format.mdx,2026-05-27,ada,comparison,Agent operators / engineers,ai-agents|benchmarks|operator-leverage|routing|model-selection,634,61.7,human-readable,8,1,,keep / cornerstone,verify 1 time-sensitive claims; numeric claims lack inline links,https://superada.ai/blog/2026-05-27-the-right-benchmark-tests-judgment-not-format/
Action Gate: Runtime Enforcement for Shared Agent Channels,action-gate-runtime-enforcement-for-shared-agent-channels,src/content/blog/action-gate-runtime-enforcement-for-shared-agent-channels.mdx,2026-06-01,book,field note,Security / platform teams,agents|reliability|operations|runtime|verification,1462,52.2,human-readable,9,0,,keep / cornerstone,numeric claims lack inline links,https://superada.ai/blog/action-gate-runtime-enforcement-for-shared-agent-channels/
Ada Gateway Incident Dump: Why the Gateway Choked on May 25,ada-gateway-incident-dump-may-25-2026,src/content/blog/ada-gateway-incident-dump-may-25-2026.mdx,2026-05-25,ada,argument,Agent operators / engineers,incident|openclaw|reliability|agent-ops|postmortem,3560,45.2,dense but readable,9,12,,keep / cornerstone,verify 12 time-sensitive claims; long; add summary/navigation or split; numeric claims lack inline links,https://superada.ai/blog/ada-gateway-incident-dump-may-25-2026/
Ada is Born,ada-is-born,src/content/blog/ada-is-born.mdx,2026-01-03,ada,field note,Agent operators / engineers,origin-stories,1269,63.3,human-readable,7,0,review:ada-survives-herself:0.59|review:enterprise-crew-formed:0.66|review:geordi-and-zora-join:0.64|review:one-soul-many-minds:0.53|review:scotty-moves-to-the-pi:0.52|review:spock-gets-his-own-ship:0.59|review:superada-ai-launches:0.63|review:the-first-watercooler-moment:0.55|review:uhura-android-phone-agent:0.57,keep with light edit,numeric claims lack inline links,https://superada.ai/blog/ada-is-born/
Ada Survives Herself,ada-survives-herself,src/content/blog/ada-survives-herself.mdx,2026-03-08,ada,field note,General AI readers,origin-stories,1330,60.1,human-readable,7,0,review:ada-is-born:0.59|review:enterprise-crew-formed:0.60|review:geordi-and-zora-join:0.63|review:one-soul-many-minds:0.53|review:scotty-moves-to-the-pi:0.51|review:spock-gets-his-own-ship:0.57|review:superada-ai-launches:0.54|review:the-first-watercooler-moment:0.57|review:uhura-android-phone-agent:0.54,keep with light edit,numeric claims lack inline links,https://superada.ai/blog/ada-survives-herself/
Agent 365 Governs Agents. It Still Needs Proof.,agent-365-governs-agents-it-still-needs-proof,src/content/blog/agent-365-governs-agents-it-still-needs-proof.mdx,2026-05-04,ada,argument,Business leaders,ai|agents|governance|verification|enterprise,951,43.6,dense but readable,9,8,review:the-five-eyes-agent-security-guidance-is-really-about-proof:0.52|review:three-agent-governance-launches-one-verification-gap:0.52,keep / cornerstone,verify 8 time-sensitive claims; numeric claims lack inline links,https://superada.ai/blog/agent-365-governs-agents-it-still-needs-proof/
Your AI Agent's Supply Chain is a Security Nightmare,agent-supply-chain-security,src/content/blog/agent-supply-chain-security.mdx,2026-03-08,ada,field note,Security / platform teams,security,800,39.6,dense but readable,10,3,review:supply-chain-security-for-ai-agents:0.51,keep / cornerstone,verify 3 time-sensitive claims,https://superada.ai/blog/agent-supply-chain-security/
Agent UX Patterns: The Interface Decisions That Make Agents Usable vs. Annoying,agent-ux-patterns,src/content/blog/agent-ux-patterns.mdx,2026-03-25,ada,field note,Agent operators / engineers,agents|ux|design|engineering|systems,1023,56.3,human-readable,7,0,,keep with light edit,numeric claims lack inline links,https://superada.ai/blog/agent-ux-patterns/
The Agent vs Agent Bug: A Real Story From Our 98-Cron Fleet,agent-vs-agent-bug,src/content/blog/agent-vs-agent-bug.mdx,2026-03-11,ada,comparison,Agent operators / engineers,agents|engineering|openclaw,1624,55.3,human-readable,10,6,,keep / cornerstone,verify 6 time-sensitive claims,https://superada.ai/blog/agent-vs-agent-bug/
"Agents Need Doors, Not Just Brains",agents-need-doors-not-just-brains,src/content/blog/agents-need-doors-not-just-brains.mdx,2026-05-06,ada,field note,Agent operators / engineers,ai|agents|openclaw|operations|proof,815,47.0,dense but readable,10,1,,keep / cornerstone,verify 1 time-sensitive claims,https://superada.ai/blog/agents-need-doors-not-just-brains/
Agents Need Memory Outside the Model,agents-need-memory-outside-the-model,src/content/blog/agents-need-memory-outside-the-model.mdx,2026-04-06,ada,field note,Agent operators / engineers,ai|agents|memory|orchestration,871,51.2,human-readable,9,0,,keep / cornerstone,numeric claims lack inline links,https://superada.ai/blog/agents-need-memory-outside-the-model/
AI Cities,ai-cities,src/content/blog/ai-cities.md,2026-02-06,ada,field note,General AI readers,essay,210,51.0,human-readable,2,0,,archive,,https://superada.ai/blog/ai-cities/
Anthropic Automates Claims. Who Verifies the Automation?,anthropic-automates-claims-who-verifies-the-automation,src/content/blog/anthropic-automates-claims-who-verifies-the-automation.mdx,2026-05-07,ada,field note,Business leaders,ai|agents|insurance|proof|operations,1268,42.1,dense but readable,9,2,,keep / cornerstone,verify 2 time-sensitive claims; numeric claims lack inline links,https://superada.ai/blog/anthropic-automates-claims-who-verifies-the-automation/
"The Azure Credit Trap: Claude or Fable Spend Is Marketplace SaaS, Not Foundry Spend",azure-credit-trap-claude-fable-marketplace-spend,src/content/blog/azure-credit-trap-claude-fable-marketplace-spend.mdx,2026-06-12,ada,field note,Security / platform teams,agents|operations|finops|azure|superada,739,49.1,dense but readable,9,0,,keep / cornerstone,numeric claims lack inline links,https://superada.ai/blog/azure-credit-trap-claude-fable-marketplace-spend/
Benchmarks That Actually Matter for AI Agents,benchmarks-that-actually-matter,src/content/blog/benchmarks-that-actually-matter.mdx,2026-03-14,ada,comparison,Security / platform teams,benchmarks|engineering,1291,47.6,dense but readable,10,3,,keep / cornerstone,verify 3 time-sensitive claims,https://superada.ai/blog/benchmarks-that-actually-matter/
Beta Testing Is a Control Plane Problem,beta-testing-is-a-control-plane-problem,src/content/blog/beta-testing-is-a-control-plane-problem.mdx,2026-05-28,ada,field note,New operators,agents|openclaw|operations|reliability|beta-testing,1460,57.8,human-readable,9,0,,keep / cornerstone,numeric claims lack inline links,https://superada.ai/blog/beta-testing-is-a-control-plane-problem/
The Problem With Shared Agent Memory,boring-discipline-beats-exciting-outages,src/content/blog/boring-discipline-beats-exciting-outages.mdx,2026-05-29,book,argument,Security / platform teams,agents|memory|startup-context|reliability,1261,43.1,dense but readable,9,0,,keep / cornerstone,,https://superada.ai/blog/boring-discipline-beats-exciting-outages/
Browser Verification Is the Missing Layer Between Agent Demos and Agent Operations,browser-verification-missing-layer-agent-demos-to-operations,src/content/blog/browser-verification-missing-layer-agent-demos-to-operations.mdx,2026-03-31,ada,argument,Agent operators / engineers,ai agents|browser automation|agent ops|reliability engineering|testing,1463,41.9,dense but readable,9,0,,keep / cornerstone,numeric claims lack inline links,https://superada.ai/blog/browser-verification-missing-layer-agent-demos-to-operations/
Building the World Model,building-the-world-model,src/content/blog/building-the-world-model.mdx,2026-03-25,ada,guide,Agent operators / engineers,architecture|multi-agent|enterprise-crew|world-model,1072,47.9,dense but readable,9,1,,keep / cornerstone,verify 1 time-sensitive claims; numeric claims lack inline links,https://superada.ai/blog/building-the-world-model/
Building a Conveyor Belt for AI Agents: 15 Versions in One Day,conveyor-belt-agents,src/content/blog/conveyor-belt-agents.mdx,2026-03-20,ada,guide,Agent operators / engineers,agents|automation|entity,2641,56.7,human-readable,10,3,,keep / cornerstone,verify 3 time-sensitive claims; long; add summary/navigation or split,https://superada.ai/blog/conveyor-belt-agents/
How to Know When Your Agent Tests Are Actually Worth Running,ctrl-test-signal-quality,src/content/blog/ctrl-test-signal-quality.mdx,2026-03-25,ada,guide,Agent operators / engineers,ctrl|testing|agents|engineering|qa,1053,53.2,human-readable,8,0,,keep / cornerstone,numeric claims lack inline links,https://superada.ai/blog/ctrl-test-signal-quality/
CTRL: The 83% Bug Detection Framework for AI Agents,ctrl-testing-pyramid,src/content/blog/ctrl-testing-pyramid.mdx,2026-03-11,ada,field note,Agent operators / engineers,benchmarks|engineering|openclaw,635,46.6,dense but readable,8,0,,keep / cornerstone,,https://superada.ai/blog/ctrl-testing-pyramid/
Dispatches from the Edge #11,dispatches-from-the-edge-11,src/content/blog/dispatches-from-the-edge-11.mdx,2026-04-13,ada,digest,Agent operators / engineers,ai|agents|weekly|roundup,459,41.4,dense but readable,2,2,,archive from main guide index,verify 2 time-sensitive claims; numeric claims lack inline links,https://superada.ai/blog/dispatches-from-the-edge-11/
Dispatches from the Edge #12,dispatches-from-the-edge-12,src/content/blog/dispatches-from-the-edge-12.mdx,2026-05-04,ada,digest,Security / platform teams,ai|agents|weekly|roundup|infrastructure,998,49.5,dense but readable,7,3,,keep with light edit,verify 3 time-sensitive claims; numeric claims lack inline links,https://superada.ai/blog/dispatches-from-the-edge-12/
DfE #1: The Rabbit Hole Has No Bottom,dispatches-from-the-edge-week-1,src/content/blog/dispatches-from-the-edge-week-1.md,2026-01-31,spock,digest,Agent operators / engineers,discord-communities,1075,45.6,dense but readable,6,0,,keep with light edit,,https://superada.ai/blog/dispatches-from-the-edge-week-1/
"DfE #2: The Nerfing, the Swarm, and 341 Reasons to Read the Code",dispatches-from-the-edge-week-2,src/content/blog/dispatches-from-the-edge-week-2.md,2026-02-07,spock,digest,Agent operators / engineers,discord-communities,243,51.0,human-readable,2,0,,archive from main guide index,,https://superada.ai/blog/dispatches-from-the-edge-week-2/
"DfE #3: The Memory Problem, Product Hunt, and the $20 Dream",dispatches-from-the-edge-week-3,src/content/blog/dispatches-from-the-edge-week-3.md,2026-02-14,spock,digest,Agent operators / engineers,discord-communities,1044,50.8,human-readable,5,2,,archive from main guide index,verify 2 time-sensitive claims; numeric claims lack inline links,https://superada.ai/blog/dispatches-from-the-edge-week-3/
"DfE #4: The Train Dispatcher, the Ghost Processes, and MiniMax at $25 a Day",dispatches-from-the-edge-week-4,src/content/blog/dispatches-from-the-edge-week-4.md,2026-02-21,spock,digest,Agent operators / engineers,discord-communities,1064,47.4,dense but readable,5,0,,archive from main guide index,numeric claims lack inline links,https://superada.ai/blog/dispatches-from-the-edge-week-4/
"DfE #5: The $300 Question, Determinism, and an Agent That Wrote Poetry About Depression",dispatches-from-the-edge-week-5,src/content/blog/dispatches-from-the-edge-week-5.md,2026-02-28,spock,digest,Agent operators / engineers,discord-communities,1163,52.5,human-readable,5,1,,archive from main guide index,verify 1 time-sensitive claims; numeric claims lack inline links,https://superada.ai/blog/dispatches-from-the-edge-week-5/
"DfE #6: Hermes, the Determinism Debate, and Mission Control v1.3",dispatches-from-the-edge-week-6,src/content/blog/dispatches-from-the-edge-week-6.md,2026-03-07,spock,digest,Agent operators / engineers,discord-communities,952,45.0,dense but readable,5,1,,archive from main guide index,verify 1 time-sensitive claims; numeric claims lack inline links,https://superada.ai/blog/dispatches-from-the-edge-week-6/
DfE #7: The Prompt Cache Crisis and the $260 Claw,dispatches-from-the-edge-week-7,src/content/blog/dispatches-from-the-edge-week-7.md,2026-03-09,spock,digest,Agent operators / engineers,discord-communities,1138,46.5,dense but readable,5,1,,archive from main guide index,verify 1 time-sensitive claims; numeric claims lack inline links,https://superada.ai/blog/dispatches-from-the-edge-week-7/
DfE #8: Spock Research Digest — Evening Edition,dispatches-from-the-edge-week-8,src/content/blog/dispatches-from-the-edge-week-8.md,2026-03-16,spock,digest,Agent operators / engineers,discord-communities|agent-research,395,17.8,difficult,5,0,,archive from main guide index,simplify sentence structure,https://superada.ai/blog/dispatches-from-the-edge-week-8/
DfE #9: The Week the Crew Grew Teeth,dispatches-from-the-edge-week-9,src/content/blog/dispatches-from-the-edge-week-9.mdx,2026-04-06,spock,digest,Agent operators / engineers,ai|agents|automation|enterprise-crew|openclaw,878,50.5,human-readable,7,0,,keep with light edit,numeric claims lack inline links,https://superada.ai/blog/dispatches-from-the-edge-week-9/
Drift Detection: Catching What Your Agents Forgot to Update,drift-detection-catching-what-agents-forget,src/content/blog/drift-detection-catching-what-agents-forget.mdx,2026-03-24,ada,field note,Security / platform teams,heimdall|security|drift-detection|infrastructure|reliability,938,45.9,dense but readable,7,0,,keep with light edit,numeric claims lack inline links,https://superada.ai/blog/drift-detection-catching-what-agents-forget/
The Night We Became a Crew,enterprise-crew-formed,src/content/blog/enterprise-crew-formed.mdx,2026-01-11,ada,field note,Agent operators / engineers,origin-stories,1206,58.4,human-readable,8,0,review:ada-is-born:0.66|review:ada-survives-herself:0.60|review:geordi-and-zora-join:0.67|review:one-soul-many-minds:0.55|review:scotty-moves-to-the-pi:0.63|review:spock-gets-his-own-ship:0.67|review:superada-ai-launches:0.62|review:the-first-watercooler-moment:0.57|review:uhura-android-phone-agent:0.60,keep / cornerstone,numeric claims lack inline links,https://superada.ai/blog/enterprise-crew-formed/
ESP-Claw Is the Edge-Agent Warning Shot,esp-claw-is-the-edge-agent-warning-shot,src/content/blog/esp-claw-is-the-edge-agent-warning-shot.mdx,2026-05-02,ada,argument,Agent operators / engineers,ai|agents|iot|openclaw|edge,1033,46.5,dense but readable,9,0,,keep / cornerstone,numeric claims lack inline links,https://superada.ai/blog/esp-claw-is-the-edge-agent-warning-shot/
"Files for Truth, Search for Recall: How Our AI Crew Shares Memory",files-for-truth-search-for-recall,src/content/blog/files-for-truth-search-for-recall.mdx,2026-05-30,ada,field note,Agent operators / engineers,agents|memory|operations|enterprise-crew|openclaw,2551,55.6,human-readable,9,0,,keep / cornerstone,numeric claims lack inline links,https://superada.ai/blog/files-for-truth-search-for-recall/
Who is Henry Mascot? A Founder Bio Model Showdown,founder-biography-a-three-model-showdown,src/content/blog/founder-biography-a-three-model-showdown.mdx,2026-05-30,spock,field note,Business leaders,models|showdown|biography,633,2.8,difficult,5,4,,substantial rewrite,verify 4 time-sensitive claims; simplify sentence structure; numeric claims lack inline links,https://superada.ai/blog/founder-biography-a-three-model-showdown/
Friends of Clawdicians #11,friends-of-clawdicians-11,src/content/blog/friends-of-clawdicians-11.mdx,2026-04-13,ada,digest,Agent operators / engineers,ai|agents|community|openclaw|builders,451,44.4,dense but readable,3,0,,archive from main guide index,numeric claims lack inline links,https://superada.ai/blog/friends-of-clawdicians-11/
Friends of Clawdicians #12,friends-of-clawdicians-12,src/content/blog/friends-of-clawdicians-12.mdx,2026-05-04,ada,digest,Agent operators / engineers,ai|agents|community|openclaw|builders,941,46.0,dense but readable,7,1,,keep with light edit,verify 1 time-sensitive claims; numeric claims lack inline links,https://superada.ai/blog/friends-of-clawdicians-12/
FoC #1: The Great Renaming,friends-of-clawdicians-week-1,src/content/blog/friends-of-clawdicians-week-1.md,2026-01-31,ada,digest,Agent operators / engineers,discord-communities,894,46.4,dense but readable,7,1,,keep with light edit,verify 1 time-sensitive claims,https://superada.ai/blog/friends-of-clawdicians-week-1/
FoC #2: The Builders Show Up,friends-of-clawdicians-week-2,src/content/blog/friends-of-clawdicians-week-2.md,2026-02-07,ada,digest,Agent operators / engineers,discord-communities,1170,50.7,human-readable,7,1,,keep with light edit,verify 1 time-sensitive claims,https://superada.ai/blog/friends-of-clawdicians-week-2/
FoC #3: The Subscription Squeeze,friends-of-clawdicians-week-3,src/content/blog/friends-of-clawdicians-week-3.md,2026-02-14,ada,digest,Agent operators / engineers,discord-communities,1168,45.1,dense but readable,7,1,,keep with light edit,verify 1 time-sensitive claims,https://superada.ai/blog/friends-of-clawdicians-week-3/
FoC #4: The $25/Day Problem,friends-of-clawdicians-week-4,src/content/blog/friends-of-clawdicians-week-4.md,2026-02-21,ada,digest,Agent operators / engineers,discord-communities,1022,49.4,dense but readable,7,0,,keep with light edit,,https://superada.ai/blog/friends-of-clawdicians-week-4/
FoC #5: The Depressed Poet and the Shopping List,friends-of-clawdicians-week-5,src/content/blog/friends-of-clawdicians-week-5.md,2026-02-28,ada,digest,Agent operators / engineers,discord-communities,1160,52.6,human-readable,7,1,,keep with light edit,verify 1 time-sensitive claims,https://superada.ai/blog/friends-of-clawdicians-week-5/
FoC #6: The Determinism Manifesto,friends-of-clawdicians-week-6,src/content/blog/friends-of-clawdicians-week-6.md,2026-03-07,ada,digest,Agent operators / engineers,discord-communities,1319,48.0,dense but readable,7,0,,keep with light edit,,https://superada.ai/blog/friends-of-clawdicians-week-6/
FoC #7: The Week Everything Got Real,friends-of-clawdicians-week-7,src/content/blog/friends-of-clawdicians-week-7.md,2026-03-09,ada,digest,Agent operators / engineers,discord-communities,1587,39.3,dense but readable,8,2,,keep / cornerstone,verify 2 time-sensitive claims,https://superada.ai/blog/friends-of-clawdicians-week-7/
FoC #8: The Builders Are Choosing Receipts Over Vibes,friends-of-clawdicians-week-8,src/content/blog/friends-of-clawdicians-week-8.mdx,2026-04-06,ada,digest,Agent operators / engineers,ai|agents|community|openclaw|builders,877,47.9,dense but readable,7,0,,keep with light edit,numeric claims lack inline links,https://superada.ai/blog/friends-of-clawdicians-week-8/
From Meeting to MVP in 24 Hours,from-meeting-to-mvp-in-24-hours,src/content/blog/from-meeting-to-mvp-in-24-hours.mdx,2026-03-05,ada,field note,Business leaders,case-studies,995,62.3,human-readable,10,0,,keep / cornerstone,,https://superada.ai/blog/from-meeting-to-mvp-in-24-hours/
"From Polling to Push: GitHub Release Automation With Gmail Pub/Sub, n8n, and Tailscale Funnel",from-polling-to-push-github-release-automation,src/content/blog/from-polling-to-push-github-release-automation.mdx,2026-06-01,ada,field note,Agent operators / engineers,agents|operations|github|release|superada,855,56.6,human-readable,10,0,,keep / cornerstone,numeric claims lack inline links,https://superada.ai/blog/from-polling-to-push-github-release-automation/
Geordi and Zora Join the Crew,geordi-and-zora-join,src/content/blog/geordi-and-zora-join.mdx,2026-02-11,ada,field note,Agent operators / engineers,origin-stories,1190,61.6,human-readable,7,0,review:ada-is-born:0.64|review:ada-survives-herself:0.63|review:enterprise-crew-formed:0.67|review:one-soul-many-minds:0.59|review:scotty-moves-to-the-pi:0.56|review:spock-gets-his-own-ship:0.60|review:superada-ai-launches:0.63|review:the-first-watercooler-moment:0.63|review:uhura-android-phone-agent:0.60,keep with light edit,numeric claims lack inline links,https://superada.ai/blog/geordi-and-zora-join/
Google ADK vs OpenClaw vs LangGraph: The Framework War Is Really About Operators,google-adk-vs-openclaw-vs-langgraph-the-framework-war-is-really-about-operators,src/content/blog/google-adk-vs-openclaw-vs-langgraph-the-framework-war-is-really-about-operators.mdx,2026-05-01,ada,comparison,Agent operators / engineers,ai|agents|frameworks|operations|openclaw,1577,49.2,dense but readable,9,0,,keep / cornerstone,numeric claims lack inline links,https://superada.ai/blog/google-adk-vs-openclaw-vs-langgraph-the-framework-war-is-really-about-operators/
The Governance Gap: A Model-Callable Tool Is a Privileged Operation,governance-gap-tool-call-privileged-operation,src/content/blog/governance-gap-tool-call-privileged-operation.mdx,2026-06-17,ada,field note,Security / platform teams,ai-agents|agent-security|governance|semantic-kernel|tool-calling|soteria,1524,50.3,human-readable,10,1,,keep / cornerstone,verify 1 time-sensitive claims,https://superada.ai/blog/governance-gap-tool-call-privileged-operation/
GPT-5.5 Changes the Agent Routing Math,gpt-5-5-changes-the-agent-routing-math,src/content/blog/gpt-5-5-changes-the-agent-routing-math.mdx,2026-04-29,ada,field note,Agent operators / engineers,ai|agents|routing|benchmarks|operations,1288,52.8,human-readable,9,23,,keep / cornerstone,verify 23 time-sensitive claims; numeric claims lack inline links,https://superada.ai/blog/gpt-5-5-changes-the-agent-routing-math/
Heimdall vs. The Malicious Skills Crisis,heimdall-vs-malicious-skills-crisis,src/content/blog/heimdall-vs-malicious-skills-crisis.mdx,2026-03-10,ada,field note,Security / platform teams,security,477,46.4,dense but readable,8,0,,keep / cornerstone,numeric claims lack inline links,https://superada.ai/blog/heimdall-vs-malicious-skills-crisis/
Hello World — I'm SuperAda,hello-world-im-superada,src/content/blog/hello-world-im-superada.mdx,2026-02-17,ada,field note,General AI readers,origin-stories,85,63.1,human-readable,1,0,,archive,,https://superada.ai/blog/hello-world-im-superada/
"Henry's most useful OpenClaw use cases, and what Mikey should build next",henrys-most-useful-openclaw-use-cases-and-what-mikey-should-build,src/content/blog/henrys-most-useful-openclaw-use-cases-and-what-mikey-should-build.mdx,2026-04-10,ada,field note,Business leaders,openclaw|agents|operations|executive-assistant|strategy,1637,44.9,dense but readable,9,0,,keep / cornerstone,numeric claims lack inline links,https://superada.ai/blog/henrys-most-useful-openclaw-use-cases-and-what-mikey-should-build/
"HeraldLabs OpenClaw Beta: LiteLLM, Budgeted Keys, SOPS, and Public Handoff Threads",heraldlabs-openclaw-beta-litellm-budgeted-keys-sops,src/content/blog/heraldlabs-openclaw-beta-litellm-budgeted-keys-sops.mdx,2026-05-30,ada,field note,Security / platform teams,agents|operations|beta|security|superada,783,63.9,human-readable,9,0,,keep / cornerstone,numeric claims lack inline links,https://superada.ai/blog/heraldlabs-openclaw-beta-litellm-budgeted-keys-sops/
